entity_id,state,last_changed
sensor.solar_forecast_today,54.0,2026-06-28T17:00:00.000Z
sensor.solar_forecast_today,54.2,2026-06-28T17:25:24.793Z
sensor.solar_forecast_today,56.5,2026-06-28T19:25:25.405Z
sensor.solar_forecast_today,22.8,2026-06-28T22:05:25.953Z
sensor.solar_forecast_today,27.3,2026-06-29T00:05:25.885Z
sensor.solar_forecast_today,24.0,2026-06-29T02:05:26.944Z
sensor.solar_forecast_today,23.3,2026-06-29T04:05:26.886Z
sensor.solar_forecast_today,25.7,2026-06-29T06:05:27.888Z
sensor.solar_forecast_today,23.1,2026-06-29T08:05:29.709Z
sensor.solar_forecast_today,23.0,2026-06-29T10:05:29.974Z
sensor.solar_forecast_today,24.3,2026-06-29T12:05:29.914Z
sensor.solar_forecast_today,23.7,2026-06-29T14:05:29.937Z
sensor.solar_forecast_today,22.9,2026-06-29T16:05:31.101Z
sensor.solar_forecast_today,23.0,2026-06-29T18:05:32.086Z
sensor.solar_forecast_today,22.9,2026-06-29T20:05:33.940Z
sensor.solar_forecast_today,32.0,2026-06-29T22:05:33.936Z
sensor.solar_forecast_today,26.0,2026-06-30T00:05:36.067Z
sensor.solar_forecast_today,21.7,2026-06-30T01:05:35.815Z
sensor.solar_forecast_today,26.5,2026-06-30T02:05:35.958Z
sensor.solar_forecast_today,27.0,2026-06-30T04:05:35.912Z
sensor.solar_forecast_today,23.4,2026-06-30T06:05:36.264Z
sensor.solar_forecast_today,33.1,2026-06-30T08:05:36.920Z
sensor.solar_forecast_today,37.1,2026-06-30T10:05:39.910Z
sensor.solar_forecast_today,70.6,2026-06-30T11:35:39.805Z
sensor.solar_forecast_today,73.3,2026-06-30T12:05:39.899Z
sensor.solar_forecast_today,83.6,2026-06-30T14:05:39.911Z
sensor.solar_forecast_today,80.8,2026-06-30T16:05:41.917Z
sensor.solar_forecast_today,80.5,2026-06-30T18:05:44.873Z
sensor.solar_forecast_today,39.0,2026-06-30T18:15:44.800Z
sensor.solar_forecast_today,38.9,2026-06-30T20:05:46.916Z
sensor.solar_forecast_today,21.3,2026-06-30T22:05:47.199Z
sensor.solar_forecast_today,22.9,2026-07-01T00:05:47.007Z
sensor.solar_forecast_today,35.5,2026-07-01T02:05:46.920Z
sensor.solar_forecast_today,18.5,2026-07-01T04:05:48.447Z
sensor.solar_forecast_today,20.0,2026-07-01T06:05:49.013Z
sensor.solar_forecast_today,21.5,2026-07-01T08:05:49.370Z
sensor.solar_forecast_today,20.6,2026-07-01T10:05:49.101Z
sensor.solar_forecast_today,21.5,2026-07-01T12:05:48.936Z
sensor.solar_forecast_today,26.9,2026-07-01T14:05:48.993Z
sensor.solar_forecast_today,21.6,2026-07-01T16:05:50.899Z
sensor.solar_forecast_today,33.8,2026-07-01T18:05:50.890Z
sensor.solar_forecast_today,23.4,2026-07-01T20:05:50.881Z
sensor.solar_forecast_today,32.2,2026-07-01T22:05:51.947Z
sensor.solar_forecast_today,32.1,2026-07-02T02:05:51.923Z
sensor.solar_forecast_today,32.8,2026-07-02T04:05:52.009Z
sensor.solar_forecast_today,40.8,2026-07-02T06:05:52.014Z
sensor.solar_forecast_today,33.3,2026-07-02T08:05:53.281Z
sensor.solar_forecast_today,36.3,2026-07-02T10:05:53.916Z
sensor.solar_forecast_today,38.8,2026-07-02T12:05:53.882Z
sensor.solar_forecast_today,40.8,2026-07-02T14:05:53.928Z
sensor.solar_forecast_today,38.5,2026-07-02T16:05:54.896Z
sensor.solar_forecast_today,40.8,2026-07-02T18:05:54.912Z
sensor.combined_mesh_solar_energy,23804.31,2026-06-28T17:00:00.000Z
sensor.combined_mesh_solar_energy,23804.33,2026-06-28T17:00:04.598Z
sensor.combined_mesh_solar_energy,23804.36,2026-06-28T17:02:11.230Z
sensor.combined_mesh_solar_energy,23804.39,2026-06-28T17:04:45.640Z
sensor.combined_mesh_solar_energy,23804.41,2026-06-28T17:06:37.297Z
sensor.combined_mesh_solar_energy,23804.43,2026-06-28T17:08:04.276Z
sensor.combined_mesh_solar_energy,23804.44,2026-06-28T17:10:29.247Z
sensor.combined_mesh_solar_energy,23804.46,2026-06-28T17:12:27.318Z
sensor.combined_mesh_solar_energy,23804.48,2026-06-28T17:14:29.561Z
sensor.combined_mesh_solar_energy,23804.49,2026-06-28T17:16:57.342Z
sensor.combined_mesh_solar_energy,23804.51,2026-06-28T17:18:40.093Z
sensor.combined_mesh_solar_energy,23804.53,2026-06-28T17:20:30.273Z
sensor.combined_mesh_solar_energy,23804.54,2026-06-28T17:22:08.677Z
sensor.combined_mesh_solar_energy,23804.55,2026-06-28T17:24:31.893Z
sensor.combined_mesh_solar_energy,23804.56,2026-06-28T17:26:03.741Z
sensor.combined_mesh_solar_energy,23804.57,2026-06-28T17:28:12.666Z
sensor.combined_mesh_solar_energy,23804.58,2026-06-28T17:30:23.273Z
sensor.combined_mesh_solar_energy,23804.59,2026-06-28T17:32:58.262Z
sensor.combined_mesh_solar_energy,23804.6,2026-06-28T17:34:50.458Z
sensor.combined_mesh_solar_energy,23804.61,2026-06-28T17:36:56.289Z
sensor.combined_mesh_solar_energy,23804.62,2026-06-28T17:38:25.270Z
sensor.combined_mesh_solar_energy,23804.63,2026-06-28T17:40:08.479Z
sensor.combined_mesh_solar_energy,23804.64,2026-06-28T17:42:09.321Z
sensor.combined_mesh_solar_energy,23804.65,2026-06-28T17:44:27.693Z
sensor.combined_mesh_solar_energy,23804.66,2026-06-28T17:46:48.338Z
sensor.combined_mesh_solar_energy,23804.67,2026-06-28T17:48:10.604Z
sensor.combined_mesh_solar_energy,23804.68,2026-06-28T17:50:31.269Z
sensor.combined_mesh_solar_energy,23804.69,2026-06-28T17:54:59.594Z
sensor.combined_mesh_solar_energy,23804.7,2026-06-28T17:56:30.287Z
sensor.combined_mesh_solar_energy,23804.71,2026-06-28T17:58:43.270Z
